x,y,t1,t2,t3
-1.7994838,0.80391276,2.550631,0.34163338,1.2387139
0.0045055747,1.6111823,0.9338814,1.268237,1.2623819
1.9172599,0.52751815,0.16124232,0.21451126,1.324999
-0.7894797,1.6388414,1.5911102,0.85722303,2.1625142
0.9367455,1.1550447,0.15698792,1.4647876,2.9521852
-0.11474699,0.10001254,0.9300811,2.9892304,2.139666
0.076729596,0.56379104,0.15321401,2.564635,1.3895352
-0.20481873,0.23721957,0.8695821,2.8268888,0.30144334
-1.1549333,1.1454638,1.7393506,1.2419207,2.6925218
-0.7931987,-0.024175704,2.0092757,2.3255725,2.1255372
-0.3907917,1.5798812,1.1930596,1.2404493,0.27633226
-0.24864149,-0.2049278,2.4219232,2.8179743,2.6455743
0.3868214,1.3078107,0.4627907,1.6408538,0.4634884
0.9685905,1.6270641,0.70609784,0.6554847,2.1076083
0.2401985,1.4180381,0.63473815,1.536526,1.6368768
-1.8329538,0.7036171,2.5833678,0.3833999,0.49242544
-0.19170946,0.42582783,0.65869534,2.6702492,1.00615
-0.65331095,-0.70517397,2.8957453,2.1388083,1.7697
-0.9368451,1.3165956,1.5591034,1.2602789,1.7678784
-0.5813873,1.2977144,1.2121134,1.5597593,1.771219
1.4048847,1.2219207,0.34211144,0.7474927,2.8392031
0.77429914,1.2749778,0.2960218,1.4580035,3.124689
-1.3560224,0.26885813,2.1382263,1.6152704,0.20952864
-1.644472,1.0463784,2.3489342,0.45194834,1.1249034
-0.22211522,1.5529683,1.0437685,1.3381813,1.5879782
-1.0413859,-0.7251422,2.866401,1.7668928,2.9777474
-1.8191749,0.6050005,2.531672,0.577717,2.275305
1.0997684,1.4233049,0.4604066,0.9050534,2.0328033
-0.36973274,-0.12354982,2.0894608,2.7492518,1.0651321
-0.6911451,0.27488434,1.573311,2.3794794,0.05169152
-1.8935115,0.58408517,2.7064517,0.27186963,1.5924459
-0.19471905,1.8531843,1.3037347,0.7435004,1.7784102
-1.6309205,-0.4759356,2.8697174,1.1116219,0.6382238
1.0859466,1.6794424,0.9898549,0.013904136,2.2798443
0.91463304,1.7019267,0.8163999,0.5225407,0.6658583
-0.62181604,-0.3674022,2.4739354,2.4026487,2.776417
-1.538413,0.79686177,2.1405606,1.0462137,1.1318402
-0.26411468,-0.088783145,2.0348566,2.8620455,1.9978837
0.5875913,1.7323225,0.82758135,0.8324005,0.08565706
-1.1894993,1.4589323,1.9101638,0.68929297,0.17031232
-1.9182,-0.15754905,2.9481907,0.5507036,1.3921001
-1.3125372,0.42095348,2.0208194,1.6208394,0.5138362
-0.044829667,0.3142127,0.30108756,2.8228505,1.8265828
-1.6777186,-0.43639982,2.8739676,1.0442016,2.033483
-0.55782896,1.352192,1.2115927,1.5009413,0.61411196
-1.0232446,0.005972922,2.1020412,2.0674286,1.5383931
0.09931001,1.9073459,1.2175208,0.6025107,2.6570723
0.055588543,0.89269817,0.4014577,2.2142973,1.0426105
-0.20161676,1.1842463,0.8129374,1.8529822,0.75483525
-1.1376469,0.3139246,1.9327155,1.8792707,0.40449664
-0.8559302,0.16402566,1.8323317,2.2398443,2.1925662
0.11120029,1.9768752,1.3730665,0.28307694,1.3286518
-1.5185075,0.8824364,2.1163461,0.9976487,2.167041
