x,y,t1,t2
-0.07795936,1.2576451,0.7435004,1.7784102
-1.6309205,-0.4759356,2.8697174,1.1116219
0.74590415,1.5941296,0.6382238,0.9898549
0.33830214,0.76375955,0.013904136,2.2798443
0.91463304,1.7019267,0.8163999,0.5225407
-0.21361148,0.6195333,0.6658583,2.4739354
-0.28925934,-0.21956074,2.4026487,2.776417
-1.538413,0.79686177,2.1405606,1.0462137
-0.57469016,0.8800943,1.1318402,2.0348566
-0.814175,-0.71321535,2.8620455,1.9978837
0.5875913,1.7323225,0.82758135,0.8324005
0.5839906,0.99658096,0.08565706,1.9101638
1.4244323,1.3935769,0.68929297,0.17031232
-1.9182,-0.15754905,2.9481907,0.5507036
-0.7856694,0.71606624,1.3921001,2.0208194
-0.584491,1.8439362,1.6208394,0.5138362
-0.044829667,0.3142127,0.30108756,2.8228505
-0.2648446,-0.03246528,1.8265828,2.8739676
-0.49536628,0.92838806,1.0442016,2.033483
-0.55782896,1.352192,1.2115927,1.5009413
-0.09357196,0.98895407,0.61411196,2.1020412
-1.3706343,0.43145853,2.0674286,1.5383931
0.09931001,1.9073459,1.2175208,0.6025107
-1.8814508,0.5487511,2.6570723,0.4014577
-1.5933585,0.6849403,2.2142973,1.0426105
-0.20161676,1.1842463,0.8129374,1.8529822
-0.1702972,1.1237701,0.75483525,1.9327155
-0.9576893,1.7092198,1.8792707,0.40449664
-0.8559302,0.16402566,1.8323317,2.2398443
-1.4939088,0.4014029,2.1925662,1.3730665
0.9192796,1.2784739,0.28307694,1.3286518
-1.5185075,0.8824364,2.1163461,0.9976487
-0.49006003,-0.16999197,2.167041,2.616888
0.037952602,1.4027041,0.75060254,1.5862873
-1.3208778,0.09834558,2.220319,1.693912
-1.0777328,0.6698701,1.7020073,1.7669345
0.5007293,1.2259707,0.3359184,1.6942425
-0.08252251,-0.13141155,2.6585255,2.9862626
-1.2208432,-0.30275512,2.4940333,1.7812879
-1.6690688,0.7733506,2.3043807,0.8066359
1.8467531,0.73571885,0.26909566,0.22003543
-0.16212249,-0.5421146,3.1378381,2.5679212
-0.006342113,0.9201943,0.4850089,2.1853588
-0.0002271533,-0.0005607605,2.757011,3.1409876
-0.1286586,-0.3276157,2.9442928,2.787777
-0.26027167,1.7262031,1.2106768,1.0195385
-0.39681417,-0.5484086,2.860497,2.4510386
-0.08231127,0.13540134,0.6255241,2.9829693
-0.64372575,-0.27344924,2.32974,2.4270933
-0.027824104,1.0621226,0.58625835,2.0214574
-0.2563982,0.22596252,1.0201341,2.7981484
-0.667503,0.6373358,1.2881464,2.182327
-0.8592534,0.14946866,1.8498042,2.2391202
-0.4643829,0.63088214,1.0369965,2.3366716
0.15305412,1.1321752,0.47364074,1.9255686
1.7369491,0.9912422,0.5080083,0.021146728
-0.047243476,0.32578707,0.30935928,2.810893
-0.06749636,-0.0696823,2.420653,3.0445423
-1.9411926,0.4512341,2.8291948,0.16800386
0.6355616,1.4485356,0.49883607,1.316983
-0.14533287,0.45268762,0.55067044,2.661552
1.3012767,1.3014463,0.38326207,0.80440253
1.7422557,0.72178084,0.053263515,0.6789837
-0.11600411,-0.2589325,2.862741,2.8569016
-0.20841014,-0.28866112,2.6952317,2.783651
-1.529804,-0.6653035,2.9675274,1.1685736
-0.14069605,-0.09739363,2.26195,2.9702666
-0.00044119358,-0.00025224686,2.0904453,3.1410844
-0.50890875,-0.28973335,2.3855102,2.5472794
