x,y,t1,t2,t3
-0.46524894,-0.28837872,0.8695821,2.8268888,0.30144334
-0.027405754,0.0044317655,1.7393506,1.2419207,2.6925218
-0.048850704,-0.123184875,2.0092757,2.3255725,2.1255372
-0.41731238,0.35730383,1.1930596,1.2404493,0.27633226
0.016986288,-0.029157251,2.4219232,2.8179743,2.6455743
-0.26946744,0.4569186,0.4627907,1.6408538,0.4634884
0.028413856,0.1338251,0.70609784,0.6554847,2.1076083
-0.1477611,0.21576518,0.63473815,1.536526,1.6368768
-0.51870394,0.09161767,2.5833678,0.3833999,0.49242544
-0.42231113,-0.08005969,0.65869534,2.6702492,1.00615
0.071136214,-0.21311451,2.8957453,2.1388083,1.7697
-0.21358559,0.07130435,1.5591034,1.2602789,1.7678784
-0.20910326,0.08103612,1.2121134,1.5597593,1.771219
0.0058800057,0.011261597,0.34211144,0.7474927,2.8392031
-7.286668e-06,3.9339066e-05,0.2960218,1.4580035,3.124689
-0.45337856,-0.31816143,2.1382263,1.6152704,0.20952864
-0.37771752,0.1339145,2.3489342,0.45194834,1.1249034
-0.1995348,0.18951258,1.0437685,1.3381813,1.5879782
-0.00029628724,-0.0037381947,2.866401,1.7668928,2.9777474
-0.09860419,0.003176501,2.531672,0.577717,2.275305
0.03164295,0.15193105,0.4604066,0.9050534,2.0328033
0.052364238,-0.412317,2.0894608,2.7492518,1.0651321
-0.3853755,-0.4057918,1.573311,2.3794794,0.05169152
-0.27029544,0.04452789,2.7064517,0.27186963,1.5924459
-0.10194371,0.19752982,1.3037347,0.7435004,1.7784102
-0.3370862,-0.37587258,2.8697174,1.1116219,0.6382238
0.052472107,0.0824001,0.9898549,0.013904136,2.2798443
0.1149353,0.48680413,0.8163999,0.5225407,0.6658583
0.0030179098,-0.018214613,2.4739354,2.4026487,2.776417
-0.39859134,-0.01802129,2.1405606,1.0462137,1.1318402
0.030092034,-0.1612339,2.0348566,2.8620455,1.9978837
-0.04978624,0.55675185,0.82758135,0.8324005,0.08565706
-0.47623062,0.28685117,1.9101638,0.68929297,0.17031232
-0.3089422,-0.115335934,2.9481907,0.5507036,1.3921001
-0.45969826,-0.25117376,2.0208194,1.6208394,0.5138362
-0.20912562,0.003692435,0.30108756,2.8228505,1.8265828
-0.11057905,-0.10864509,2.8739676,1.0442016,2.033483
-0.46271753,0.21168506,1.2115927,1.5009413,0.61411196
-0.14934513,-0.24750407,2.1020412,2.0674286,1.5383931
-0.007949561,0.03123261,1.2175208,0.6025107,2.6570723
-0.36422035,0.21137138,0.4014577,2.2142973,1.0426105
-0.43022206,0.22161752,0.8129374,1.8529822,0.75483525
-0.4210977,-0.3338862,1.9327155,1.8792707,0.40449664
-0.06983638,-0.09375583,1.8323317,2.2398443,2.1925662
