x,y,z,t1,t2,t3,t4
-0.27764302,0.27858654,0.00515005,2.2131588,0.37833357,0.24484995,0.9842018
-0.007385248,0.16430305,0.18818268,0.99825543,2.4538267,0.06181732,0.74437046
-0.2687016,-0.08907895,0.20486617,2.9045615,1.6357003,0.04513382,0.69789624
-0.008436957,0.32758418,0.10851592,1.1444113,1.2677445,0.14148408,1.027518
-0.11590434,0.36527687,0.11384949,1.6548973,0.6009239,0.13615051,0.91092765
-0.29449987,0.26941705,0.14147308,2.3499746,0.13518506,0.1085269,0.5908434
0.006107731,0.21153367,0.20521563,0.9005602,2.136744,0.044784375,0.88271606
-0.26309615,-0.08981722,0.19997853,2.904054,1.6738223,0.050021477,0.69159937
-0.18257588,0.3485676,0.060382754,1.9138019,0.37335,0.18961725,0.54771847
0.39870697,0.030958895,0.14434361,0.06080028,0.044515405,0.10565639,0.9614407
0.1015701,0.04800963,0.16800275,0.08407065,2.8764222,0.08199725,0.8620751
-0.051506888,0.39554405,0.020480514,1.6424292,0.1543793,0.22951949,0.9263624
-0.1440549,-0.10384005,0.19920829,3.1321611,2.3643818,0.050791718,1.0038917
-0.12238703,0.13848887,0.21621948,1.6552179,2.3156939,0.033780508,0.71009773
0.33252177,0.13230932,0.09411226,0.028466655,0.95898294,0.15588774,0.57984334
-0.153752,0.07315369,0.1032829,2.07151,2.4140105,0.14671712,0.6102326
0.25428763,0.2351127,0.06732501,0.352927,1.0861796,0.18267499,1.0436362
-0.30847508,0.05514077,0.077926025,2.4740498,1.3939102,0.17207398,0.5285565
0.120402284,0.14256096,0.18796983,0.22917715,2.3037424,0.062030174,0.9113487
0.27043054,0.2539848,0.21884269,0.46192074,0.7927638,0.03115732,0.9220158
-0.0349443,0.11677845,0.045735344,1.4107399,2.779683,0.20426466,0.9302629
-0.14864364,0.3129124,0.14609179,1.621307,1.0851407,0.103908196,0.8201915
-0.31788027,0.22540879,0.019286662,2.349455,0.4703123,0.23071334,0.75693274
0.32606205,0.18714751,0.01382187,0.25455448,0.7209047,0.23617813,1.0248208
0.10727203,0.0799134,0.0598609,0.115799636,2.6786764,0.1901391,0.9403621
-0.3756015,-0.009999139,0.0821069,2.9005215,0.72421515,0.1678931,0.8925352
-0.037798405,0.21432848,0.15452561,1.1066365,2.0964682,0.095474385,0.9472586
0.027215019,0.3545574,0.08979012,1.1349716,0.98521024,0.16020988,0.8782568
0.052246395,0.26812226,0.05045572,0.8033498,1.7096522,0.19954428,0.75935
-0.26427412,0.20711952,0.07794005,2.048843,1.1919408,0.17205995,0.59575224
0.22190055,0.2990346,0.009718701,0.64712286,0.773475,0.2402813,0.7149521
